,Date,Open,High,Low,Close,Adj Close,Volume
0,Dec-09-2019,270.00,270.80,264.91,266.92,266.92,32010600
1,Dec-06-2019,267.48,271.00,267.30,270.71,270.71,26518900
2,Dec-05-2019,263.79,265.89,262.73,265.58,265.58,18606100
3,Dec-04-2019,261.07,263.31,260.68,261.74,261.74,16795400
4,Dec-03-2019,258.31,259.53,256.29,259.45,259.45,28607600
5,Dec-02-2019,267.27,268.25,263.45,264.16,264.16,23621800
6,Nov-29-2019,266.60,268.00,265.90,267.25,267.25,11654400
7,Nov-27-2019,265.58,267.98,265.31,267.84,267.84,16308900
8,Nov-26-2019,266.94,267.16,262.50,264.29,264.29,26301900
9,Nov-25-2019,262.71,266.44,262.52,266.37,266.37,21005100
10,Nov-22-2019,262.59,263.18,260.84,261.78,261.78,16331300
11,Nov-22-2019,262.59,263.18,260.84,261.78,261.78,16331300
12,Nov-21-2019,263.69,264.01,261.18,262.01,262.01,30348800
13,Nov-20-2019,265.54,266.08,260.40,263.19,263.19,26558600
14,Nov-19-2019,267.90,268.00,265.39,266.29,266.29,19041800
15,Nov-18-2019,265.80,267.43,264.23,267.10,267.10,21675800
16,Nov-15-2019,263.68,265.78,263.01,265.76,265.76,25051600
17,Nov-14-2019,263.75,264.88,262.10,262.64,262.64,22295700
18,Nov-13-2019,261.13,264.78,261.07,264.47,264.47,25683600
19,Nov-13-2019,261.13,264.78,261.07,264.47,264.47,25683600
20,Nov-12-2019,261.55,262.79,260.92,261.96,261.96,21847200
21,Nov-11-2019,258.30,262.47,258.28,262.20,262.20,20455300
22,Nov-08-2019,258.69,260.44,256.85,260.14,260.14,17496600
23,Nov-07-2019,258.74,260.35,258.11,259.43,259.43,23735100
24,Nov-06-2019,256.77,257.49,255.37,257.24,256.47,18966100
25,Nov-05-2019,257.05,258.19,256.32,257.13,256.36,19974400
26,Nov-04-2019,257.33,257.85,255.38,257.50,256.73,25818000
27,Nov-04-2019,257.33,257.85,255.38,257.50,256.73,25818000
28,Nov-01-2019,249.54,255.93,249.16,255.82,255.05,37781300
29,Oct-31-2019,247.24,249.17,237.26,248.76,248.02,34790500
30,Oct-30-2019,244.76,245.30,241.21,243.26,242.53,31130500
31,Oct-29-2019,248.97,249.75,242.57,243.29,242.56,35709900
32,Oct-28-2019,247.42,249.25,246.72,249.05,248.30,24143200
33,Oct-25-2019,243.16,246.73,242.88,246.58,245.84,18369300
34,Oct-24-2019,244.51,244.80,241.81,243.58,242.85,17318800
35,Oct-23-2019,242.10,243.24,241.22,243.18,242.45,18957200
36,Oct-22-2019,241.16,242.20,239.62,239.96,239.24,20573400
37,Oct-21-2019,237.52,240.99,237.32,240.51,239.79,21811800
38,Oct-18-2019,234.59,237.58,234.29,236.41,235.70,24358400
39,Oct-17-2019,235.09,236.15,233.52,235.28,234.58,16896300
40,Oct-17-2019,235.09,236.15,233.52,235.28,234.58,16896300
41,Oct-16-2019,233.37,235.24,233.20,234.37,233.67,18475800
42,Oct-15-2019,236.39,237.65,234.88,235.32,234.62,21840000
43,Oct-14-2019,234.90,238.13,234.67,235.87,235.16,24106900
44,Oct-11-2019,232.95,237.64,232.31,236.21,235.50,41698900
45,Oct-10-2019,227.93,230.44,227.30,230.09,229.40,28253400
46,Oct-09-2019,227.03,227.79,225.64,227.03,226.35,18692600
47,Oct-08-2019,225.82,228.06,224.33,224.40,223.73,27955000
48,Oct-08-2019,225.82,228.06,224.33,224.40,223.73,27955000
49,Oct-07-2019,226.27,229.93,225.84,227.06,226.38,30576500
50,Oct-04-2019,225.64,227.49,223.89,227.01,226.33,34619700
51,Oct-03-2019,218.43,220.96,215.13,220.82,220.16,28606500
52,Oct-02-2019,223.06,223.58,217.93,218.96,218.30,34612300
53,Oct-01-2019,225.07,228.22,224.20,224.59,223.92,34805800
54,Sep-30-2019,220.90,224.58,220.79,223.97,223.30,25977400
55,Sep-27-2019,220.54,220.96,217.28,218.82,218.17,25352000
56,Sep-26-2019,220.00,220.94,218.83,219.89,219.23,18833500
57,Sep-25-2019,218.55,221.50,217.14,221.03,220.37,21903400
58,Sep-24-2019,221.03,222.49,217.19,217.68,217.03,31190800
59,Sep-23-2019,218.95,219.84,217.65,218.72,218.07,19165500
60,Sep-20-2019,221.38,222.56,217.47,217.73,217.08,55413100
61,Sep-20-2019,221.38,222.56,217.47,217.73,217.08,55413100
62,Sep-19-2019,222.01,223.76,220.37,220.96,220.30,22060600
63,Sep-18-2019,221.06,222.85,219.44,222.77,222.10,25340000
64,Sep-17-2019,219.96,220.82,219.12,220.70,220.04,18318700
65,Sep-16-2019,217.73,220.13,217.56,219.90,219.24,21158100
66,Sep-13-2019,220.00,220.79,217.02,218.75,218.10,39763300
67,Sep-12-2019,224.80,226.42,222.86,223.09,222.42,32226700
68,Sep-11-2019,218.07,223.71,217.73,223.59,222.92,44289600
69,Sep-11-2019,218.07,223.71,217.73,223.59,222.92,44289600
70,Sep-10-2019,213.86,216.78,211.71,216.70,216.05,31777900
71,Sep-09-2019,214.84,216.44,211.07,214.17,213.53,27309400
72,Sep-06-2019,214.05,214.42,212.51,213.26,212.62,19362300
73,Sep-05-2019,212.00,213.97,211.51,213.28,212.64,23913700
74,Sep-04-2019,208.39,209.48,207.32,209.19,208.56,19188100
75,Sep-03-2019,206.43,206.98,204.22,205.70,205.08,20023000
76,Aug-30-2019,210.16,210.45,207.20,208.74,208.12,21143400
77,Aug-29-2019,208.50,209.32,206.66,209.01,208.38,20990500
78,Aug-28-2019,204.10,205.72,203.32,205.53,204.91,15938800
79,Aug-27-2019,207.86,208.55,203.53,204.16,203.55,25873300
80,Aug-26-2019,205.86,207.19,205.06,206.49,205.87,26043600
81,Aug-23-2019,209.43,212.05,201.00,202.64,202.03,46818000
82,Aug-22-2019,213.19,214.44,210.75,212.46,211.82,22253700
83,Aug-21-2019,212.99,213.65,211.60,212.64,212.00,21535400
84,Aug-20-2019,210.88,213.35,210.32,210.36,209.73,26884300
85,Aug-19-2019,210.62,212.73,210.03,210.35,209.72,24413600
86,Aug-16-2019,204.28,207.16,203.84,206.50,205.88,27620400
87,Aug-15-2019,203.46,205.14,199.67,201.74,201.14,27227400
88,Aug-15-2019,203.46,205.14,199.67,201.74,201.14,27227400
89,Aug-14-2019,203.16,206.44,202.59,202.75,202.14,36547400
90,Aug-13-2019,201.02,212.14,200.48,208.97,208.34,47218500
91,Aug-12-2019,199.62,202.05,199.15,200.48,199.88,22474900
92,Aug-09-2019,201.30,202.76,199.29,200.99,200.39,24619700
93,Aug-08-2019,200.20,203.53,199.39,203.43,202.05,27009500
94,Aug-07-2019,195.41,199.56,193.82,199.04,197.69,33364400
95,Aug-06-2019,196.31,198.07,194.04,197.00,195.67,35824800
96,Aug-05-2019,197.99,198.65,192.58,193.34,192.03,52393000
97,Aug-02-2019,205.53,206.43,201.63,204.02,202.64,40862100
98,Aug-01-2019,213.90,218.03,206.74,208.43,207.02,54017900
99,Jul-31-2019,216.42,221.37,211.30,213.04,211.60,69281400
100,Jul-30-2019,208.76,210.16,207.31,208.78,207.37,33935700
101,Jul-29-2019,208.46,210.64,208.44,209.68,208.26,21673400
102,Jul-26-2019,207.48,209.73,207.14,207.74,206.33,17618900
103,Jul-25-2019,208.89,209.24,206.73,207.02,205.62,13909600
104,Jul-24-2019,207.67,209.15,207.17,208.67,207.26,14991600
105,Jul-23-2019,208.46,208.91,207.29,208.84,207.43,18355200
106,Jul-22-2019,203.65,207.23,203.61,207.22,205.82,22277900
107,Jul-19-2019,205.79,206.50,202.36,202.59,201.22,20929300
108,Jul-18-2019,204.00,205.88,203.70,205.66,204.27,18582200
109,Jul-17-2019,204.05,205.09,203.27,203.35,201.97,14107500
110,Jul-16-2019,204.59,206.11,203.50,204.50,203.12,16866800
111,Jul-15-2019,204.09,205.87,204.00,205.21,203.82,16947400
112,Jul-12-2019,202.45,204.00,202.20,203.30,201.92,17595200
113,Jul-11-2019,203.31,204.39,201.71,201.75,200.38,20191800
114,Jul-11-2019,203.31,204.39,201.71,201.75,200.38,20191800
115,Jul-10-2019,201.85,203.73,201.56,203.23,201.85,17897100
116,Jul-09-2019,199.20,201.51,198.81,201.24,199.88,20578000
117,Jul-08-2019,200.81,201.40,198.41,200.02,198.67,25338600
118,Jul-05-2019,203.35,205.08,202.90,204.23,202.85,17265500
