,Date,Open,High,Low,Close,Adj Close,Volume
0,Dec-09-2019,1750.66,1766.89,1745.61,1749.51,1749.51,2442800
1,Dec-06-2019,1751.20,1754.40,1740.13,1751.60,1751.60,3117400
2,Dec-05-2019,1763.50,1763.50,1740.00,1740.48,1740.48,2823800
3,Dec-04-2019,1774.01,1789.09,1760.22,1760.69,1760.69,2670100
4,Dec-03-2019,1760.00,1772.87,1747.23,1769.96,1769.96,3380900
5,Dec-02-2019,1804.40,1805.55,1762.68,1781.60,1781.60,3925600
6,Nov-29-2019,1817.78,1824.69,1800.79,1800.80,1800.80,1923400
7,Nov-27-2019,1801.00,1824.50,1797.31,1818.51,1818.51,3025600
8,Nov-26-2019,1779.92,1797.03,1778.35,1796.94,1796.94,3181200
9,Nov-25-2019,1753.25,1777.42,1753.24,1773.84,1773.84,3486200
10,Nov-22-2019,1739.02,1746.43,1731.00,1745.72,1745.72,2479100
11,Nov-22-2019,1739.02,1746.43,1731.00,1745.72,1745.72,2479100
12,Nov-21-2019,1743.00,1746.87,1730.36,1734.71,1734.71,2662900
13,Nov-20-2019,1749.14,1762.52,1734.12,1745.53,1745.53,2790000
14,Nov-19-2019,1756.99,1760.68,1743.03,1752.79,1752.79,2270800
15,Nov-18-2019,1738.30,1753.70,1722.71,1752.53,1752.53,2839500
16,Nov-15-2019,1760.05,1761.68,1732.86,1739.49,1739.49,3927600
17,Nov-14-2019,1751.43,1766.59,1749.56,1754.60,1754.60,2264800
18,Nov-13-2019,1773.39,1775.00,1747.32,1753.11,1753.11,2989500
19,Nov-13-2019,1773.39,1775.00,1747.32,1753.11,1753.11,2989500
20,Nov-12-2019,1774.66,1786.22,1771.91,1778.00,1778.00,2037600
21,Nov-11-2019,1778.00,1780.00,1767.13,1771.65,1771.65,1946000
22,Nov-08-2019,1787.89,1789.88,1774.04,1785.88,1785.88,2123300
23,Nov-07-2019,1803.76,1805.90,1783.48,1788.20,1788.20,2651100
24,Nov-06-2019,1801.00,1802.50,1788.58,1795.77,1795.77,2029800
25,Nov-05-2019,1809.16,1810.25,1794.00,1801.71,1801.71,1885500
26,Nov-04-2019,1801.01,1815.06,1801.01,1804.66,1804.66,2771900
27,Nov-04-2019,1801.01,1815.06,1801.01,1804.66,1804.66,2771900
28,Nov-01-2019,1788.01,1797.45,1785.21,1791.44,1791.44,2790400
29,Oct-31-2019,1775.99,1792.00,1771.48,1776.66,1776.66,2781200
30,Oct-30-2019,1760.24,1782.38,1759.12,1779.99,1779.99,2449400
31,Oct-29-2019,1774.81,1777.00,1755.81,1762.71,1762.71,2276900
32,Oct-28-2019,1748.06,1778.70,1742.50,1777.08,1777.08,3708900
33,Oct-25-2019,1697.55,1764.21,1695.00,1761.33,1761.33,9626400
34,Oct-24-2019,1771.09,1788.34,1760.27,1780.78,1780.78,4446100
35,Oct-23-2019,1761.30,1770.05,1742.00,1762.17,1762.17,2138200
36,Oct-22-2019,1788.15,1789.78,1762.00,1765.73,1765.73,2111700
37,Oct-21-2019,1769.66,1785.88,1765.00,1785.66,1785.66,2130400
38,Oct-18-2019,1787.80,1793.98,1749.20,1757.51,1757.51,3362500
39,Oct-17-2019,1796.49,1798.85,1782.02,1787.48,1787.48,2647400
40,Oct-17-2019,1796.49,1798.85,1782.02,1787.48,1787.48,2647400
41,Oct-16-2019,1773.33,1786.24,1770.52,1777.43,1777.43,2763400
42,Oct-15-2019,1742.14,1776.45,1740.62,1767.38,1767.38,3111700
43,Oct-14-2019,1728.91,1741.89,1722.00,1736.43,1736.43,1910200
44,Oct-11-2019,1742.92,1745.45,1729.86,1731.92,1731.92,3255000
45,Oct-10-2019,1725.24,1738.29,1713.75,1720.26,1720.26,2575200
