,Date,Open,High,Low,Close,Adj Close,Volume
0,Dec-09-2019,1338.86,1357.55,1336.07,1342.99,1342.99,1542100
1,Dec-06-2019,1332.75,1342.47,1331.23,1339.39,1339.39,1648400
2,Dec-05-2019,1327.00,1327.98,1314.32,1326.96,1326.96,1220400
3,Dec-04-2019,1306.10,1324.27,1303.05,1318.94,1318.94,1775300
4,Dec-03-2019,1278.66,1297.23,1277.05,1294.74,1294.74,1263500
5,Dec-02-2019,1302.56,1305.44,1280.38,1288.86,1288.86,1326900
6,Nov-29-2019,1306.60,1309.95,1303.23,1304.09,1304.09,640100
7,Nov-27-2019,1315.42,1317.64,1309.47,1312.13,1312.13,940400
8,Nov-26-2019,1309.91,1314.01,1304.04,1313.00,1313.00,1095500
9,Nov-25-2019,1296.26,1310.41,1295.61,1305.64,1305.64,1179500
10,Nov-22-2019,1303.00,1306.90,1289.36,1293.67,1293.67,1388800
11,Nov-21-2019,1299.25,1311.12,1290.75,1300.14,1300.14,1277100
12,Nov-20-2019,1311.36,1313.21,1289.21,1301.86,1301.86,1444600
13,Nov-19-2019,1326.63,1326.63,1311.77,1312.59,1312.59,1093200
14,Nov-18-2019,1332.34,1333.92,1316.16,1319.84,1319.84,1399200
15,Nov-15-2019,1315.05,1333.54,1311.89,1333.54,1333.54,1964300
16,Nov-14-2019,1295.00,1315.72,1293.94,1309.15,1309.15,1447400
17,Nov-13-2019,1293.18,1302.52,1292.15,1296.18,1296.18,1026900
18,Nov-13-2019,1293.18,1302.52,1292.15,1296.18,1296.18,1026900
19,Nov-12-2019,1298.57,1309.35,1294.24,1297.21,1297.21,1442600
20,Nov-11-2019,1304.00,1304.90,1295.87,1298.28,1298.28,861700
21,Nov-08-2019,1301.52,1317.11,1301.52,1309.00,1309.00,1519600
22,Nov-07-2019,1294.28,1322.65,1293.75,1306.94,1306.94,2257000
23,Nov-06-2019,1290.09,1292.99,1282.27,1291.01,1291.01,1231300
24,Nov-05-2019,1291.20,1297.24,1289.38,1291.44,1291.44,1257100
25,Nov-04-2019,1276.11,1292.50,1276.11,1289.61,1289.61,1531600
26,Nov-01-2019,1265.80,1273.00,1259.71,1272.25,1272.25,1440600
27,Oct-31-2019,1260.00,1266.52,1249.48,1258.80,1258.80,1595000
28,Oct-30-2019,1255.15,1268.02,1250.65,1260.70,1260.70,1460200
29,Oct-29-2019,1276.00,1280.80,1255.61,1260.66,1260.66,2632700
30,Oct-28-2019,1275.00,1299.24,1272.31,1288.98,1288.98,3271400
31,Oct-25-2019,1252.00,1268.00,1249.15,1264.30,1264.30,1355200
32,Oct-24-2019,1259.11,1262.90,1252.35,1259.11,1259.11,1011200
33,Oct-23-2019,1240.21,1258.04,1240.21,1257.63,1257.63,1064100
34,Oct-22-2019,1244.48,1248.73,1239.85,1241.20,1241.20,1143100
35,Oct-21-2019,1248.70,1253.51,1239.99,1244.28,1244.28,904700
36,Oct-18-2019,1254.69,1258.11,1240.14,1244.41,1244.41,1581200
37,Oct-17-2019,1251.40,1263.75,1249.87,1252.80,1252.80,1047900
38,Oct-17-2019,1251.40,1263.75,1249.87,1252.80,1252.80,1047900
39,Oct-16-2019,1241.81,1254.19,1238.53,1243.00,1243.00,1149300
40,Oct-15-2019,1221.50,1247.13,1220.92,1242.24,1242.24,1379200
41,Oct-14-2019,1213.89,1225.88,1211.88,1217.77,1217.77,664800
42,Oct-11-2019,1224.03,1228.75,1213.64,1215.71,1215.71,1116500
43,Oct-10-2019,1198.60,1215.62,1197.86,1209.47,1209.47,642100
44,Oct-09-2019,1201.33,1208.46,1198.12,1202.40,1202.40,797400
45,Oct-08-2019,1198.77,1206.87,1189.48,1190.13,1190.13,1004300
46,Oct-07-2019,1207.00,1218.91,1204.36,1208.25,1208.25,852000
47,Oct-04-2019,1194.29,1212.46,1190.97,1210.96,1210.96,1214100
48,Oct-03-2019,1183.34,1191.00,1163.14,1189.43,1189.43,1418400
49,Oct-02-2019,1196.50,1198.76,1172.63,1177.92,1177.92,1651500
50,Oct-01-2019,1222.49,1232.86,1205.55,1206.00,1206.00,1225200
51,Sep-30-2019,1220.60,1227.41,1213.42,1221.14,1221.14,1223500
52,Sep-27-2019,1242.83,1244.99,1215.20,1225.95,1225.95,1706100
53,Sep-26-2019,1242.14,1244.67,1231.82,1242.29,1242.29,1158300
54,Sep-25-2019,1216.01,1248.02,1209.20,1245.94,1245.94,1339900
55,Sep-24-2019,1240.00,1247.11,1210.64,1218.33,1218.33,1790200
56,Sep-23-2019,1226.57,1239.68,1223.78,1234.69,1234.69,1039900
57,Sep-20-2019,1233.64,1242.80,1223.58,1229.84,1229.84,1884600
58,Sep-20-2019,1233.64,1242.80,1223.58,1229.84,1229.84,1884600
59,Sep-19-2019,1232.32,1244.34,1232.31,1238.75,1238.75,827700
60,Sep-18-2019,1230.24,1236.24,1216.47,1232.65,1232.65,872000
61,Sep-17-2019,1231.63,1235.00,1223.35,1229.88,1229.88,1040300
62,Sep-16-2019,1230.44,1239.02,1225.19,1231.63,1231.63,1410900
63,Sep-13-2019,1232.11,1241.05,1227.08,1240.03,1240.03,1183800
64,Sep-12-2019,1223.47,1242.42,1222.56,1234.97,1234.97,1582200
65,Sep-11-2019,1203.89,1222.47,1202.28,1220.00,1220.00,1176100
66,Sep-10-2019,1196.09,1210.00,1196.01,1205.70,1205.70,1396100
67,Sep-09-2019,1207.08,1220.55,1193.17,1205.27,1205.27,1592700
68,Sep-06-2019,1209.14,1212.95,1203.26,1206.32,1206.32,948600
69,Sep-05-2019,1193.66,1214.00,1192.69,1212.19,1212.19,1319700
70,Sep-04-2019,1179.45,1184.88,1171.53,1182.27,1182.27,1065600
71,Sep-03-2019,1181.85,1189.08,1163.71,1169.55,1169.55,1295400
72,Aug-30-2019,1200.35,1200.35,1185.72,1190.53,1190.53,903200
73,Aug-29-2019,1186.42,1199.19,1185.28,1194.24,1194.24,981800
74,Aug-28-2019,1164.87,1178.50,1160.25,1173.75,1173.75,840500
