,Date,Open,High,Low,Close,Adj Close,Volume
0,Dec-09-2019,224.61,224.65,221.77,221.81,221.81,2134600
1,Dec-06-2019,219.95,225.40,218.82,224.61,224.61,4229400
2,Dec-05-2019,217.15,217.63,215.42,217.14,217.14,1329300
3,Dec-04-2019,213.54,216.99,212.38,215.94,215.94,1583600
4,Dec-03-2019,215.43,215.43,210.00,212.24,212.24,3207100
5,Dec-02-2019,220.97,221.80,217.08,217.64,217.64,2118500
6,Nov-29-2019,220.88,222.00,220.41,221.35,221.35,770400
7,Nov-27-2019,223.45,224.28,221.86,222.95,221.70,1614600
8,Nov-26-2019,222.68,222.76,221.11,222.45,221.20,1926300
9,Nov-25-2019,220.89,223.95,220.89,222.75,221.50,2181800
10,Nov-22-2019,218.00,220.71,218.00,220.28,219.04,1529100
11,Nov-22-2019,218.00,220.71,218.00,220.28,219.04,1529100
12,Nov-21-2019,218.60,219.32,216.82,218.23,217.01,1677500
13,Nov-20-2019,218.36,219.47,216.40,217.91,216.69,2177700
14,Nov-19-2019,220.56,220.68,218.31,220.04,218.81,1817100
15,Nov-18-2019,219.73,219.95,218.04,219.73,218.50,1603400
16,Nov-15-2019,220.00,221.09,219.04,220.25,219.02,1693100
17,Nov-14-2019,218.79,220.47,218.03,219.43,218.20,1483100
18,Nov-13-2019,218.39,219.84,217.01,219.32,218.09,1756000
19,Nov-13-2019,218.39,219.84,217.01,219.32,218.09,1756000
20,Nov-12-2019,218.56,221.11,217.93,220.41,219.17,1891600
21,Nov-11-2019,220.90,221.41,218.52,219.03,217.80,2754500
22,Nov-08-2019,223.00,223.23,221.10,222.91,221.66,1610800
23,Nov-07-2019,220.77,224.77,220.41,223.29,222.04,3748600
24,Nov-06-2019,218.01,219.07,216.55,218.42,217.20,1863000
25,Nov-05-2019,220.80,221.78,218.47,218.64,217.41,2525100
26,Nov-04-2019,219.70,220.69,218.57,219.87,218.64,2538100
27,Nov-04-2019,219.70,220.69,218.57,219.87,218.64,2538100
28,Nov-01-2019,215.26,217.89,214.75,217.39,216.17,2112300
29,Oct-31-2019,215.15,215.36,211.32,213.38,212.18,1876200
30,Oct-30-2019,217.02,217.05,213.81,215.81,214.60,1584900
31,Oct-29-2019,217.22,219.28,216.45,217.64,216.42,2030400
32,Oct-28-2019,216.32,218.92,215.69,217.75,216.53,2707800
33,Oct-25-2019,210.18,215.42,210.18,214.23,213.03,2602100
34,Oct-24-2019,211.61,213.15,209.78,211.05,209.87,1266500
35,Oct-23-2019,209.22,212.02,209.00,211.32,210.14,1574500
36,Oct-22-2019,209.59,211.65,208.31,209.60,208.42,1868000
37,Oct-21-2019,208.67,210.86,207.68,209.25,208.08,1934900
38,Oct-18-2019,204.99,208.06,204.99,206.52,205.36,2207000
39,Oct-17-2019,208.29,208.93,204.39,206.46,205.30,2876500
40,Oct-17-2019,208.29,208.93,204.39,206.46,205.30,2876500
41,Oct-16-2019,206.17,208.62,206.10,207.42,206.26,3405800
42,Oct-15-2019,202.00,208.24,198.61,206.46,205.30,8241900
43,Oct-14-2019,203.83,206.17,202.92,205.82,204.67,2286100
44,Oct-11-2019,203.72,207.29,203.72,204.68,203.53,3334300
45,Oct-10-2019,197.59,201.32,197.54,199.87,198.75,2108000
