,Date,Open,High,Low,Close,Adj Close,Volume
0,Dec-09-2019,214.29,217.88,214.18,216.53,216.53,5111100
1,Dec-06-2019,214.21,215.36,213.90,214.28,214.28,4193700
2,Dec-05-2019,214.36,214.50,211.77,213.00,213.00,4580500
3,Dec-04-2019,213.50,214.96,213.19,214.10,214.10,4256200
4,Dec-03-2019,216.45,216.45,212.93,214.00,212.64,6505400
5,Dec-02-2019,220.90,221.19,217.46,217.62,216.24,4416300
6,Nov-29-2019,223.30,223.33,220.29,220.51,219.11,2952900
7,Nov-27-2019,221.68,223.45,220.66,223.00,221.58,6687500
8,Nov-26-2019,218.76,220.96,218.39,220.76,219.36,9981400
9,Nov-25-2019,218.00,218.53,216.88,218.40,217.01,8865400
10,Nov-22-2019,218.50,219.13,217.81,218.03,216.64,5786500
11,Nov-21-2019,221.94,222.31,218.50,218.54,217.15,7823700
12,Nov-20-2019,224.55,225.00,220.57,220.90,219.50,10225400
13,Nov-19-2019,230.60,233.12,225.40,225.86,224.42,14972200
14,Nov-18-2019,238.44,239.31,236.76,238.85,237.33,5747400
15,Nov-15-2019,237.69,238.05,236.36,237.29,235.78,3524700
16,Nov-14-2019,235.00,236.94,234.04,236.55,235.05,2282200
17,Nov-13-2019,232.09,234.90,230.85,234.80,233.31,2399600
18,Nov-13-2019,232.09,234.90,230.85,234.80,233.31,2399600
19,Nov-12-2019,232.15,234.63,232.00,233.12,231.64,2991100
20,Nov-11-2019,230.50,232.28,230.18,231.80,230.33,2309600
21,Nov-08-2019,232.80,233.26,231.63,232.84,231.36,2088400
22,Nov-07-2019,234.00,235.79,231.76,232.94,231.46,2832500
23,Nov-06-2019,232.83,234.04,231.89,234.01,232.52,2631900
24,Nov-05-2019,234.74,234.92,230.27,232.20,230.72,3624500
25,Nov-04-2019,238.27,238.39,233.88,234.92,233.43,2542400
26,Nov-01-2019,236.07,237.45,235.06,237.34,235.83,2197000
27,Oct-31-2019,236.86,237.39,233.22,234.58,233.09,2824100
28,Oct-30-2019,233.51,236.60,232.88,236.24,234.74,1956400
29,Oct-29-2019,236.84,237.50,233.92,234.14,232.65,2558000
30,Oct-28-2019,234.95,236.96,234.56,236.80,235.30,2704800
31,Oct-25-2019,233.49,235.42,232.55,234.38,232.89,2210700
32,Oct-24-2019,234.81,236.37,233.07,233.89,232.40,2173900
33,Oct-23-2019,236.66,237.41,234.36,234.67,233.18,2110500
34,Oct-22-2019,237.30,238.30,236.52,237.20,235.69,2003200
35,Oct-21-2019,238.26,238.99,235.61,236.70,235.20,2041700
36,Oct-18-2019,236.99,238.73,235.64,237.93,236.42,3662500
37,Oct-17-2019,236.36,238.17,235.51,236.77,235.27,2250500
38,Oct-17-2019,236.36,238.17,235.51,236.77,235.27,2250500
39,Oct-16-2019,235.42,236.17,233.84,235.90,234.40,2388100
40,Oct-15-2019,234.69,236.86,234.60,235.62,234.12,2663300
41,Oct-14-2019,234.22,235.49,234.06,234.18,232.69,2183900
42,Oct-11-2019,234.32,236.70,233.76,234.66,233.17,3459200
43,Oct-10-2019,229.34,232.24,229.08,231.61,230.14,2781500
44,Oct-09-2019,228.50,229.56,226.61,228.94,227.49,2657600
45,Oct-08-2019,225.36,228.78,225.10,226.67,225.23,3438500
46,Oct-07-2019,227.51,228.13,226.05,226.74,225.30,2917600
47,Oct-04-2019,227.17,229.21,227.02,227.93,226.48,3163100
48,Oct-03-2019,225.00,226.81,222.12,226.81,225.37,2777700
49,Oct-02-2019,230.60,230.60,224.34,225.55,224.12,4336100
50,Oct-01-2019,233.01,234.51,230.72,231.08,229.61,3335400
51,Sep-30-2019,230.19,232.59,230.12,232.02,230.55,3249200
