,Date,Open,High,Low,Close,Adj Close,Volume
0,Dec-09-2019,133.35,134.59,133.26,133.92,133.92,2968500
1,Dec-06-2019,132.75,133.89,132.70,133.22,133.22,3437500
2,Dec-05-2019,132.99,133.24,131.63,131.91,131.91,3595400
3,Dec-04-2019,132.86,133.68,131.96,131.99,131.99,3530000
4,Dec-03-2019,132.00,132.44,130.69,132.12,132.12,3642500
5,Dec-02-2019,134.45,134.50,132.48,132.91,132.91,3067100
6,Nov-29-2019,133.60,134.52,133.03,134.45,134.45,1825300
7,Nov-27-2019,135.35,135.71,133.62,133.77,133.77,3280900
8,Nov-26-2019,136.15,136.15,134.77,135.09,135.09,3793200
9,Nov-25-2019,134.47,136.00,134.35,135.97,135.97,2590100
10,Nov-22-2019,134.19,134.65,133.59,134.34,134.34,3297500
11,Nov-21-2019,133.40,134.17,132.98,133.84,133.84,3345300
12,Nov-20-2019,134.06,134.46,132.75,133.20,133.20,4138200
13,Nov-19-2019,134.88,135.38,134.46,134.52,134.52,2995000
14,Nov-18-2019,134.30,134.48,133.23,134.31,134.31,3210400
15,Nov-15-2019,134.39,135.12,134.03,134.40,134.40,3262500
16,Nov-14-2019,134.13,134.33,133.33,134.00,134.00,4231300
17,Nov-13-2019,135.39,135.58,133.85,134.48,134.48,2918400
18,Nov-13-2019,135.39,135.58,133.85,134.48,134.48,2918400
19,Nov-12-2019,135.87,136.66,135.02,135.59,135.59,3046500
20,Nov-11-2019,137.20,137.20,135.00,135.47,135.47,2568000
21,Nov-08-2019,137.58,137.61,136.16,137.61,137.61,2278400
22,Nov-07-2019,137.87,139.14,137.58,137.69,137.69,4073800
23,Nov-06-2019,138.00,138.78,137.55,138.78,137.16,4477300
24,Nov-05-2019,137.80,138.76,137.63,137.89,136.28,3015000
25,Nov-04-2019,136.24,137.74,136.23,137.67,136.06,3335400
26,Nov-01-2019,134.50,135.56,134.09,135.53,133.95,3089800
27,Oct-31-2019,135.11,135.25,133.23,133.73,132.17,3412100
28,Oct-30-2019,133.83,135.28,133.20,135.25,133.67,2252700
29,Oct-29-2019,135.42,135.57,133.44,133.82,132.26,4160700
30,Oct-28-2019,136.00,136.63,135.45,135.97,134.38,3225700
31,Oct-25-2019,134.12,135.93,134.10,135.44,133.86,2579100
32,Oct-24-2019,134.83,135.07,133.30,134.07,132.50,2598500
33,Oct-23-2019,133.52,134.57,132.70,134.38,132.81,3610900
34,Oct-22-2019,132.55,134.05,131.61,133.96,132.40,4161600
35,Oct-21-2019,132.61,133.10,130.90,132.58,131.03,6306100
36,Oct-18-2019,134.22,134.49,132.25,134.09,132.52,7177500
37,Oct-17-2019,135.00,136.00,132.91,134.26,132.69,15759800
38,Oct-17-2019,135.00,136.00,132.91,134.26,132.69,15759800
39,Oct-16-2019,142.49,142.95,141.39,142.11,140.45,5332600
40,Oct-15-2019,142.54,143.72,141.81,143.00,141.33,3025500
41,Oct-14-2019,142.31,142.43,141.32,142.04,140.38,2309500
42,Oct-11-2019,142.77,144.50,142.61,142.76,141.09,2996800
43,Oct-10-2019,139.77,141.78,139.56,141.13,139.48,2593700
44,Oct-09-2019,139.77,140.33,138.79,139.67,138.04,2620800
45,Oct-08-2019,140.24,140.47,138.25,138.38,136.76,3225400
46,Oct-07-2019,142.26,142.70,141.22,141.28,139.63,2426500
47,Oct-04-2019,142.06,143.06,141.03,142.99,141.32,2413600
48,Oct-03-2019,141.62,142.07,139.18,142.02,140.36,2928800
49,Oct-02-2019,142.19,142.27,140.57,141.69,140.04,3340800
50,Oct-01-2019,145.59,147.35,143.54,143.66,141.98,2960800
51,Sep-30-2019,143.73,146.57,143.73,145.42,143.72,3988400
52,Sep-27-2019,144.41,145.09,142.38,143.24,141.57,2356800
53,Sep-26-2019,143.17,143.88,141.41,143.55,141.87,2309800
54,Sep-25-2019,141.74,143.63,140.86,143.16,141.49,2526700
55,Sep-24-2019,142.50,142.89,141.07,141.68,140.03,3231600
56,Sep-23-2019,141.19,142.22,140.56,142.07,140.41,1817900
57,Sep-20-2019,143.25,143.83,141.82,141.88,140.22,5193400
58,Sep-20-2019,143.25,143.83,141.82,141.88,140.22,5193400
59,Sep-19-2019,142.46,145.03,142.45,142.97,141.30,3089900
60,Sep-18-2019,142.05,142.30,140.51,142.22,140.56,1983600
61,Sep-17-2019,142.48,142.48,140.66,142.20,140.54,2933200
62,Sep-16-2019,142.56,143.64,142.27,142.48,140.82,1928500
63,Sep-13-2019,144.32,144.65,143.26,143.67,141.99,2206600
64,Sep-12-2019,144.03,144.04,141.88,143.62,141.94,2505400
65,Sep-11-2019,144.85,145.12,142.71,143.60,141.92,3869700
66,Sep-10-2019,143.00,145.46,142.96,145.05,143.36,4979700
67,Sep-09-2019,140.59,143.02,140.46,142.60,140.94,4226600
68,Sep-06-2019,141.52,141.53,140.46,140.57,138.93,2576800
69,Sep-05-2019,138.30,141.70,138.05,140.97,139.32,5011600
70,Sep-04-2019,135.71,136.43,135.15,136.32,134.73,2247900
71,Sep-03-2019,134.85,134.90,133.33,134.10,132.53,2827900
72,Aug-30-2019,135.58,136.07,134.36,135.53,133.95,2960600
73,Aug-29-2019,134.18,135.69,134.04,134.88,133.31,2971800
74,Aug-28-2019,130.44,132.89,130.04,132.76,131.21,2713600
75,Aug-27-2019,131.20,131.70,130.31,131.17,129.64,4728000
76,Aug-26-2019,131.05,131.30,129.16,129.99,128.47,2833900
77,Aug-23-2019,133.63,134.26,128.83,129.57,128.06,4818400
78,Aug-22-2019,134.69,135.68,133.81,134.32,132.75,2694900
79,Aug-21-2019,134.96,135.94,133.80,134.25,132.68,2805700
80,Aug-20-2019,135.24,135.28,132.81,133.00,131.45,3018600
81,Aug-19-2019,134.88,136.33,134.88,135.04,133.46,3165100
82,Aug-16-2019,133.04,134.59,132.95,133.76,132.20,3012000
