,Date,Open,High,Low,Close,Adj Close,Volume
0,Dec-09-2019,3141.86,3148.87,3135.46,3135.96,3135.96,3345990000
1,Dec-06-2019,3134.62,3150.60,3134.62,3145.91,3145.91,3479480000
2,Dec-05-2019,3119.21,3119.45,3103.76,3117.43,3117.43,3355750000
3,Dec-04-2019,3103.50,3119.38,3102.53,3112.76,3112.76,3695030000
4,Dec-03-2019,3087.41,3094.97,3070.33,3093.20,3093.20,3653390000
5,Dec-02-2019,3143.85,3144.31,3110.78,3113.87,3113.87,3268740000
6,Nov-29-2019,3147.18,3150.30,3139.34,3140.98,3140.98,1743020000
7,Nov-27-2019,3145.49,3154.26,3143.41,3153.63,3153.63,3033090000
8,Nov-26-2019,3134.85,3142.69,3131.00,3140.52,3140.52,4595590000
9,Nov-25-2019,3117.44,3133.83,3117.44,3133.64,3133.64,3511530000
10,Nov-22-2019,3111.41,3112.87,3099.26,3110.29,3110.29,3226780000
11,Nov-22-2019,3111.41,3112.87,3099.26,3110.29,3110.29,3226780000
12,Nov-21-2019,3108.49,3110.11,3094.55,3103.54,3103.54,3720560000
13,Nov-20-2019,3114.66,3118.97,3091.41,3108.46,3108.46,4034890000
14,Nov-19-2019,3127.45,3127.64,3113.47,3120.18,3120.18,3590070000
15,Nov-18-2019,3117.91,3124.17,3112.06,3122.03,3122.03,3436690000
16,Nov-15-2019,3107.92,3120.46,3104.60,3120.46,3120.46,3335650000
17,Nov-14-2019,3090.75,3098.20,3083.26,3096.63,3096.63,3276070000
18,Nov-13-2019,3084.18,3098.06,3078.80,3094.04,3094.04,3509280000
19,Nov-13-2019,3084.18,3098.06,3078.80,3094.04,3094.04,3509280000
20,Nov-12-2019,3089.28,3102.61,3084.73,3091.84,3091.84,3466010000
21,Nov-11-2019,3080.33,3088.33,3075.82,3087.01,3087.01,3035530000
22,Nov-08-2019,3081.25,3093.09,3073.58,3093.08,3093.08,3499150000
23,Nov-07-2019,3087.02,3097.77,3080.23,3085.18,3085.18,4144640000
24,Nov-06-2019,3075.10,3078.34,3065.89,3076.78,3076.78,4458190000
25,Nov-05-2019,3080.80,3083.95,3072.15,3074.62,3074.62,4486130000
26,Nov-04-2019,3078.96,3085.20,3074.87,3078.27,3078.27,4146850000
27,Nov-04-2019,3078.96,3085.20,3074.87,3078.27,3078.27,4146850000
28,Nov-01-2019,3050.72,3066.95,3050.72,3066.91,3066.91,3930200000
29,Oct-31-2019,3046.90,3046.90,3023.19,3037.56,3037.56,4139280000
30,Oct-30-2019,3039.74,3050.10,3025.96,3046.77,3046.77,3776030000
31,Oct-29-2019,3035.39,3047.87,3034.81,3036.89,3036.89,3589930000
32,Oct-28-2019,3032.12,3044.08,3032.12,3039.42,3039.42,3521230000
33,Oct-25-2019,3003.32,3027.39,3001.94,3022.55,3022.55,3370370000
34,Oct-24-2019,3014.78,3016.07,3000.42,3010.29,3010.29,3692600000
35,Oct-23-2019,2994.01,3004.78,2991.21,3004.52,3004.52,3392870000
36,Oct-22-2019,3010.73,3014.57,2995.04,2995.99,2995.99,3523890000
37,Oct-21-2019,2996.48,3007.33,2995.35,3006.72,3006.72,3271620000
38,Oct-18-2019,2996.84,3000.00,2976.31,2986.20,2986.20,3264290000
